reference,doi,title,year,type,journal,authors
hal-01964590,10.1007/978-3-030-53164-5_10,"Creative Industries, a large ongoing project, still inacurate and always incertain, Intervention au titre de keynote speaker lors de la Conférence de Saint-Pétersbourg “The Industrialization of Creativity and its Limits”24 June 2017, à paraître ainsi que dans une traduction en russe par Ilya Kyria dans une revue russe.",2020,Chapitre d'ouvrage,,Bernard Miège
hal-01966216,10.3726/b17770,Politiques du multilinguisme et traduction : de la « langue mondiale » à la « langue translative mondiale »,2021,Chapitre d'ouvrage,,Aurélien Talbot; Camille Biros; Caroline Rossi
hal-01966782,10.1093/imamci/dny044,Optimal Control of Linear PDEs using Occupation Measures and SDP Relaxations,2020,Article,IMA Journal of Mathematical Control and Information,Victor Magron; Christophe Prieur
hal-01967349,10.15122/isbn.978-2-406-10361-5.p.0113,Les médecins et la définition d’un environnement salubre. Expertises sur l’« état de santé» d’Alcalá de Henares (octobre 1544),2020,Chapitre d'ouvrage,,Elisa Andretta
hal-01970324,10.1017/9781108580298,Continuities and discontinuies between imagination and memory: The view from philosophy,2020,Chapitre d'ouvrage,,Kourken Michaelian; Denis Perrin; André Sant'Anna
hal-01970399,10.1109/tvcg.2018.2890466,Precomputed Multiple Scattering for Rapid Light Simulation in Participating Media,2020,Article,IEEE Transactions on Visualization and Computer Graphics,Beibei Wang; Liangsheng Ge; Nicolas Holzschuch
hal-01973543,10.1007/978-3-030-57559-5_6,Beyond heights: slopes and distribution of rational points,2021,Chapitre d'ouvrage,,Emmanuel Peyre
hal-01975392,10.1007/s00023-020-00919-z,Decay of the Local Energy for the Charged Klein–Gordon Equation in the Exterior De Sitter–Reissner–Nordström Spacetime,2020,Article,Annales Henri Poincaré,Nicolas Besset
hal-01977670,10.1080/02699206.2019.1700310,"Rehabilitation of speech disorders following glossectomy, based on ultrasound visual illustration and feedback",2020,Article,Clinical Linguistics & Phonetics,Marion Girod-Roux; Thomas Hueber; Diandra Fabre; Silvain Gerber; Mélanie Canault; Nathalie Bedoin et al.
hal-01978762,10.1109/tcst.2019.2891621,Fractional order modelling and identiﬁcation for a phantom EEG system,2020,Article,IEEE Transactions on Control Systems Technology,Gildas Besancon; Guillaume Jean-Paul Claude Becq; Alina Voda
hal-01980761,10.1002/batt.201800075,The Electrochemical Sodiation of FeSb 2 : New Insights from Operando 57 Fe Synchrotron Mössbauer and X-Ray Absorption Spectroscopy,2019,Article,Batteries & Supercaps,Marcus Fehse; Dimitrios Bessas; Ali Darwiche; Abdelfattah Mahmoud; Guy Rahamim; Camille La fontaine et al.
halshs-01984714,10.1007/978-3-030-40834-3,Equalizing Regionalization : regional education policy in France and Germany,2020,Ouvrage,,Claire Dupuy
hal-01985695,10.5802/ahl.60,Decay of semilinear damped wave equations: cases without geometric control condition,2020,Article,Annales Henri Lebesgue,Romain Joly; Camille Laurent
hal-01986984,10.5802/ahl.26,Proper actions on $\ell^p$ spaces for relatively hyperbolic groups,2020,Autre,,Indira Chatterji; François Dahmani
hal-01987942,10.1080/14789450.2019.1559061,Current trends in protein acetylation analysis,2019,Article,Expert Review of Proteomics,Issa Diallo; Michel Seve; Valérie Cunin; Frédéric Minassian; Jean-François Poisson; Sylvie Michelland et al.
hal-01622092,10.1109/tac.2019.2940323,Lyapunov stability analysis of the implicit discrete-time twisting control algorithm,2020,Article,IEEE Transactions on Automatic Control,Olivier Huber; Vincent Acary; Bernard Brogliato
hal-01783929,10.1016/j.ecosta.2019.01.004,An extreme quantile estimator for the log-generalized Weibull-tail model,2020,Article,Econometrics and Statistics,Clément Albert; Anne Dutfoy; Laurent Gardes; Stéphane Girard
hal-01991604,10.15122/isbn.978-2-406-10932-7.p.0153,"Paradoxes, antagonismes et expressivité de la technique. La Bolex H 16 et la Bolex 150",2020,Chapitre d'ouvrage,,Vincent Sorrel
hal-01991749,10.4000/ticetsociete.3540,Dailymotion : le devenir média d’une plateforme. Analyse d’une trajectoire sémio-économique (2005-2018),2019,Article,Tic&société,Vincent Bullich; Benoit Lafon
hal-01991750,10.4000/ticetsociete.3154,"Ulule, du courtage à la structuration des pratiques de création dans l'édition, la musique et l'audiovisuel",2019,Article,Tic&société,Manuel Dupuy-Salle; Laurie Schmitt
hal-01997503,10.3150/19-bej1140,Consistent semiparametric estimators for recurrent event times models with application to virtual age models,2020,Article,Bernoulli,Eric Beutner; Laurent Bordes; Laurent Doyen
hal-01998252,10.1051/ps/2019018,"On strict sub-Gaussianity, optimal proxy variance and symmetry for bounded random variables",2020,Article,ESAIM: Probability and Statistics,Julyan Arbel; Olivier Marchal; Hien T Nguyen
hal-01998766,10.1039/c8se00483h,Green electrode processing using a seaweed-derived mesoporous carbon additive and binder for LiMn 2 O 4 and LiNi 1/3 Mn 1/3 Co 1/3 O 2 lithium ion battery electrodes,2019,Article,Sustainable Energy & Fuels,Sanghoon Kim; Mario de Bruyn; Nicolas Louvain; Johan Alauzun; Nicolas Brun; Duncan Macquarrie et al.
halshs-02000064,10.4000/cei.10745,"Les ""Carnets de notes des Mémoires d’Hadrien"" : entre méthode historique et technique romanesque",2022,Article,Cahiers d'études italiennes,Clément Chillet
hal-02004642,10.1002/9781119720430.ch4,Metadata in data lakes,2020,Chapitre d'ouvrage,,Asma Zgolli; Christine Collet
hal-02006214,10.1016/j.amp.2019.01.007,Évaluation des comportements agressifs routiers : adaptation et validation en version française de l'Aggressive Driving Behavior Scale (ADBS),2020,Article,"Annales Médico-Psychologiques, Revue Psychiatrique",Emilie Berdoulat; David Vavassori; María Teresa Muñoz Sastre
hal-02009425,10.4171/ifb/436,A convex approach to the Gilbert-Steiner problem,2020,Article,"Interfaces and Free Boundaries : Mathematical Analysis, Computation and Applications",Mauro Bonafini; Edouard Oudet
