code,acronym,title,year,amount_eur,duration_months,program,coordinator
ANR-24-CE12-6116,SHADE-OF-PAL,Impact de l'organisation de la chromatine du spermatozoïde sur la protection et l'identité épigénétique des chromosomes paternels dans l'œuf,2024,,,ANR,Laboratoire de Biologie et Modélisation de la Cellule
ANR-24-CE07-6389,CAMOolOX,Catalyseurs moléculaires pour l'oxydation de l'ammoniac,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE01-0721,MADALPS,Comprendre les mécanismes et la distribution de la sismicité des Alpes occidentales : vers une approche intégrée,2024,,,ANR,Université Grenoble Alpes
101205763,SUN_Atomtronics,Matter-wave circuits of multi-component ultracold atomic systems,2024,235855,,Horizon Europe,
ANR-24-PEXD-0001,DIADEM_Formation,DIADEM's training program,2024,,,PIA ANR,CEA Paris
ANR-24-PEVD-0005,VILLEGARDEN,How residential greenspaces contribute to biodiverse and permeable cities,2024,,,PIA ANR,Université de Lyon I (Claude Bernard)
ANR-24-PEMO-0001,ACME (DDM),Approvisionnement Collaboratif Multimodal Écologique,2024,,,PIA ANR,Ecole Nationale des Ponts et Chaussées
ANR-24-PEFO-0002,HUB,Integrative and education hub: think-&-do tank,2024,,,PIA ANR,ECOFOR
ANR-24-PEBB-0006,MuSiHC,Multi-size Hybrid Cell Models,2024,,,PIA ANR,INRAE Centre Ile-de-France - Versailles-Saclay
ANR-24-EXSP-0006,MALT,Materials Design and Control of Altermagnets,2024,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-24-EXSP-0002,ALTEROSPIN,Altermagnetic spintronics,2024,,,PIA ANR,CNRS IDF Sud (Gif)
ANR-24-EXSF-0006,SF-Demo,Large scale Demonstrator for high temperature superconducting magnets,2024,,,PIA ANR,CEA Saclay
ANR-24-EXSF-0002,SF-Tape,"High Temperature, High Current, High Field Superconducting Tape",2024,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-24-EXLU-0005,HELIOPHORE,Hemiindigoids as visible-light-induced optical switches for photopharmacological regulation,2024,,,PIA ANR,Université Grenoble Alpes
101208904,LpTarget,Weaken the Barrier: Dynamic Modular Study of Lipopolysaccharide Early Transport by the Lpt Machinery,2024,226421,,Horizon Europe,
101200240,SNABS,Social Navigation with Adaptive Behavior Sets,2024,,,Horizon Europe,
ANR-24-NEU2-0006,PainGutPFC,PainGutPFC,2024,,,ANR,University of Valencia
ANR-24-CE28-5187,APHANTASIA,Aphantasie : une mémoire de travail sans images mentales,2024,,,ANR,Université Lumière Lyon 2
ANR-24-CE10-0893,Prod4Human,Intégration du dilemme performance santé des opérateurs dans la planification et l’ordonnancement des systèmes intelligents de production,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE07-0127,MO2DULEX,Complexes moléculaires Modulables par l'oxygène singulet et application à la catalyse sélective à l'or,2024,,,ANR,Institut des Sciences Moléculaires
ANR-24-CE05-0940,CARROTS,"Convertisseur multiniveau modulaire coopératif : une étude collaborative sur l'électronique de puissance, le contrôle et les réseaux de données",2024,,,ANR,CentraleSupélec
ANR-24-EXSP-0005,MAGNON-BRAQET,Magnon-Based Resources Addressing Quantum Enabling Technologies,2024,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-24-EXSP-0001,ACOUSKYR,Surface acoustic waves for the manipulation of skyrmions,2024,,,PIA ANR,Université Grenoble Alpes
ANR-24-EXMA-0012,SICIM,Statistical inference challenges in the modelling glacier evolution,2024,,,PIA ANR,Sorbonne Université
ANR-24-CMAS-0015,COMETES,COmpétences et METiers pour l'ESpace,2024,,,PIA ANR,Communauté d'universités et établissements de Toulouse
101188416,DataGEMS,"Data Discovery Platform with Generalized Exploratory, Management, and Search Capabilities",2024,73388,,Horizon Europe,
101187940,LUMEN,Linked User-driven Multidisciplinary Exploration Network,2024,33885,,Horizon Europe,
ANR-24-CE49-3397,ORVET,Optimiser l'extraction des vitesses radiales,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE40-3526,GAG,Groupes en Géométrie Algébrique,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE38-5299,WoMBAT,La mémoire de travail comme base pour une technologie d'apprentissage adaptative,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE16-7478,TRAPHD,Décrypter la machinerie de traduction localisée sur les endosomes TrkB mobiles en situation normale et dans la maladie de Huntington,2024,,,ANR,Université Grenoble Alpes
ANR-24-PEBA-0001,COFLUENSS,Coextrusion and FLUorination for ENhanced Solid state Sodium ion battery,2024,,,PIA ANR,Université Clermont Auvergne
ANR-24-EXSP-0012,SUPERSPIN,Superconducting spintronics,2024,,,PIA ANR,Université de Lorraine
ANR-24-EXSF-0004,SF-Protection,Coils protection for safe operation,2024,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-24-EXSF-0001,Pilotage et gouvernance du programme Suprafusion,Pilotage et gouvernance du programme Suprafusion,2024,,,PIA ANR,CEA Saclay
ANR-24-EXLU-0007,MANDALA,Machine learning powered non adiabatic dynamics in complex systems Multiscale modeling of nucleosomal DNA lesions,2024,,,PIA ANR,Université Paris Cité
101217261,PhD_at_Tec21,Doctoral Programme for the Engineering of Complexity in the 21st Century,2024,1663200,,Horizon Europe,
101212220,BorderWhale,How Whales Make and Unmake Geopolitical Borders: Conceptualizing and Investigating the Multispecies Politics of (De)Bordering,2024,242261,,Horizon Europe,
ANR-24-RSHS-0003,FORESEE,"Living with the CCC, towards reshaping the social Contract",2024,,,PIA ANR,Université Grenoble Alpes
ANR-24-RSHS-0001,DEMOCIS,"Democracies, Citizenship and Institutions facing the transformations of public Spheres",2024,,,PIA ANR,Université de Lille
ANR-24-PEXO-0002,ThermieFrance,Global change impacts on surface freshwater temperature : data and tools for a better ecological and socio-economic adaptation,2024,,,PIA ANR,INRAE centre Lyon Grenoble Auvergne Rhône Alpes
ANR-24-PEBB-0015,WallMat,Biosourced materials inspired from the plant cell walls,2024,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-24-EXEN-0003,DECO,DEformation physique et COllaboration,2024,,,PIA ANR,Université Grenoble Alpes
ANR-24-EBIP-0011,EVESNAT,"Nature-based Solutions to meet EU Nature Restoration Targets: Evaluating synergies and trade-offs across Ecosystem Services for biodiversity conservation, climate change mitigation, and resilience and autonomy improvement",2024,,,ANR,ACCADEMIA EUROPEA DI BOLZANO
ANR-24-CE44-3527,RESTOR,Restaurer l'efficacité des antifongiques azolés pour traiter plus efficacement les candidoses,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE40-6184,AdAnAr,"Adélique, Analytique, Arithmétique",2024,,,ANR,Université Grenoble Alpes
ANR-24-CE40-5714,DYNACQUS,Dynamique en temps long de systèmes classiques et quantiques,2024,,,ANR,CY Cergy Paris Université
ANR-24-CE40-3760,NuHeMiBa,Numérique pour Helmholtz et bases microlocales,2024,,,ANR,Institut Fourier (Université Grenoble-Alpes)
ANR-24-CE40-2216,STOIQUES,Optimisation de forme et topologique : Questions importantes et sujets émergents,2024,,,ANR,Université de Lorraine
ANR-24-CE15-2171,OIL,Gouttelettes lipidiques des trypanosomes africains: un mystérieux compartiment renfermant d'essentielles fonctions parasitaires,2024,,,ANR,Microbiologie fondamentale et pathogénicité
ANR-24-CE11-5859,CryptoTarget,Cibler La Poly-Adénosine Polymérase De Cryptosporidium hominis Comme Nouvelle Approche Thérapeutique Pour Traiter Les Maladies Gastro-intestinales Sévères,2024,,,ANR,Université Grenoble Alpes
ANR-24-CE01-4014,SLIDE,Analyse de la contribution des glissements de terrain lents à l'érosion de l'Himalaya,2024,,,ANR,Centre de Recherches Pétrographiques et Géochimiques
101207936,PINPOINT-NMR,Pinpoint-NMR: A sequence-specific labeling technique to accelerate NMR investigation of large proteins,2024,283026,,Horizon Europe,
101217201,EIPOD-LinC,EMBL Interdisciplinary Postdocs - Life in Context,2024,,,Horizon Europe,
ANR-23-PEXD-0002,ALEUTIAN,ALliages EUTectiques développés par Intelligence Artificielle et calculs Numériques,2023,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-23-PETQ-0007,MolQIF,Spins in Molecules for Quantum Information,2023,,,PIA ANR,Université Paris-Saclay
ANR-23-PEIA-0007,CAUSALI-T-AI,CAUSALIty Teams up with Artificial Intelligence,2023,,,PIA ANR,Université de Lorraine
ANR-23-PECL-0005,SILECS (PECL),Super Infrastructure for Large-Scale Experimental Computer Science for Cloud/Edge/IoT,2023,,,PIA ANR,INRIA siège
